role_id,masco_code,role_title,locale,role_standard,crosswalk_status,crosswalk_confidence,mapped_masco2020_code,mapped_masco2020_title,global_sources,global_match_count,global_anchor_count,question_count,linked_open_qa_count,role_source_url,role_license_status
M132111,132111,Power Generation Plant Manager,en-MY,MASCO 2020,retained,high,132126,Power Generation Plant Manager,ESCO 1.2.1; O*NET 31.0; OSCA 2024 Version 1.0,3,14,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,official_source_rights_review_required_for_external_bulk_redistribution
M132201,132201,Production and Operation Manager (Mine),en-MY,MASCO 2020,retained,high,132201,"Production and Operation Manager, Mine",ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,official_source_rights_review_required_for_external_bulk_redistribution
M132202,132202,Production and Operation Manager (Oil and Gas Extraction),en-MY,MASCO 2020,retained,high,132203,"Production and Operation Manager, Oil and Gas Extraction",ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,official_source_rights_review_required_for_external_bulk_redistribution
M132203,132203,Offshore Installation Manager,en-MY,MASCO 2020,retained,high,132207,Offshore Installation Manager,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,official_source_rights_review_required_for_external_bulk_redistribution
M132205,132205,Metallurgy Manager,en-MY,MASCO 2020,retained,high,132210,"Manager, Metallurgy",ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,official_source_rights_review_required_for_external_bulk_redistribution
M132301,132301,Construction Manager,en-MY,MASCO 2020,retained,high,132301,Construction Manager,ESCO 1.2.1; O*NET 31.0; NOC 2021 Version 1.0; OSCA 2024 Version 1.0,4,14,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,official_source_rights_review_required_for_external_bulk_redistribution
M132302,132302,Building and Architecture Manager,en-MY,MASCO 2020,retained,high,132310,Building and Architecture Manager,ESCO 1.2.1; NOC 2021 Version 1.0,2,11,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,official_source_rights_review_required_for_external_bulk_redistribution
M132303,132303,Land Surveyor Manager,en-MY,MASCO 2020,retained,high,132311,Land Surveyor Manager,ESCO 1.2.1; NOC 2021 Version 1.0; OSCA 2024 Version 1.0,3,14,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=321,official_source_rights_review_required_for_external_bulk_redistribution
M132401,132401,Railway Station Master,en-MY,MASCO 2020,retained,high,132401,Railway Station Master,ESCO 1.2.1; OSCA 2024 Version 1.0,2,10,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=322,official_source_rights_review_required_for_external_bulk_redistribution
M132402,132402,Transport Manager,en-MY,MASCO 2020,retained,high,132402,Transport Manager,ESCO 1.2.1; OSCA 2024 Version 1.0,2,10,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=322,official_source_rights_review_required_for_external_bulk_redistribution
M132404,132404,Port/Shipping Operations Manager,en-MY,MASCO 2020,retained,medium,132414,Shipping Manager,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=322,official_source_rights_review_required_for_external_bulk_redistribution
M132405,132405,Halal Logistics Operation Manager,en-MY,MASCO 2020,retained,high,132416,"Manager, Halal Logistics Operation",ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=322,official_source_rights_review_required_for_external_bulk_redistribution
M151101,151101,Chief Information Officer/Chief Data Officer/Chief Information Security Officer,en-MY,MASCO 2020,retained,medium,151101,Chief Information Officer,ESCO 1.2.1; OSCA 2024 Version 1.0,2,10,12,8,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323,official_source_rights_review_required_for_external_bulk_redistribution
M151102,151102,Information Systems Manager,en-MY,MASCO 2020,retained,high,151106,Information Systems Manager,ESCO 1.2.1; O*NET 31.0; NOC 2021 Version 1.0; OSCA 2024 Version 1.0,4,14,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323,official_source_rights_review_required_for_external_bulk_redistribution
M151103,151103,Village Community Center Manager (Information Technology),en-MY,MASCO 2020,retained,medium,151108,Village Community Center Manager,ESCO 1.2.1,1,6,12,8,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323,official_source_rights_review_required_for_external_bulk_redistribution
M151104,151104,Internet Service Provider,en-MY,MASCO 2020,retained,high,151116,Internet Service Provider,ESCO 1.2.1,1,6,12,0,https://www.dosm.gov.my/uploads/content-downloads/file_20220920110308.pdf#page=323,official_source_rights_review_required_for_external_bulk_redistribution
