"role_id","masco_code","role_title","candidate_rank","candidate_esco_code","candidate_esco_title","candidate_esco_uri","retrieval_score","title_cosine","profile_cosine","matched_esco_label","exact_normalized_label","same_four_digit_group","selected_primary","query_masco_version","score_is_probability"
"M363306","363306","Museum Technician","3","2621.8","Museum Scientist","http://data.europa.eu/esco/occupation/a63733fa-f7ff-4733-8961-1ec4eeaab00b","0.751618","0.793984","0.723095","Museum Scientist","false","false","false","2020","false"
"M363306","363306","Museum Technician","4","1349.18","Museum Director","http://data.europa.eu/esco/occupation/cc937d5f-4072-4fe7-bc23-2c9a465b8754","0.688256","0.710836","0.695579","Museum Manager","false","false","false","2020","false"
"M363306","363306","Museum Technician","5","2621.6","Exhibition Curator","http://data.europa.eu/esco/occupation/691d30cc-6b2c-4025-89b4-3e719fe664c7","0.650497","0.658353","0.72574","Museum Curator","false","false","false","2020","false"
"M363306","363306","Museum Technician","6","3435.25","Theatre Technician","http://data.europa.eu/esco/occupation/f09b6100-28a6-4be5-9726-ecf5b24f74f6","0.634892","0.629458","0.53781","Stage Technician","false","false","false","2020","false"
"M363306","363306","Museum Technician","7","3521.1.6","Recording Studio Technician","http://data.europa.eu/esco/occupation/aa50ae49-1e40-4ba9-959f-22a11ff172b4","0.634579","0.658266","0.460002","Sounds Technician","false","false","false","2020","false"
"M363306","363306","Museum Technician","8","7322.8","Reprographics Technician","http://data.europa.eu/esco/occupation/77de6c7d-27bf-4bc2-8c80-5d6f6d9811f4","0.632057","0.622662","0.594967","Mailroom Technician","false","false","false","2020","false"
"M363306","363306","Museum Technician","9","3435.25.3","Scenery Technician","http://data.europa.eu/esco/occupation/5a0ff408-e1df-424b-a2d6-4b475a516f2a","0.626009","0.608913","0.551078","Set Tehnician","false","false","false","2020","false"
"M363306","363306","Museum Technician","10","3521.1.11","Video Technician","http://data.europa.eu/esco/occupation/a59feab2-9bc9-4b25-97cf-995998164502","0.620214","0.612137","0.520714","Image Technician","false","false","false","2020","false"
"M363306","363306","Museum Technician","11","2621.3","Conservator","http://data.europa.eu/esco/occupation/7556c748-15b4-4e44-97d9-00d885d4cd7d","0.420539","0.414421","0.560174","Building Conservation Officer","false","false","false","2020","false"
"M363414","363414","Stage Technician","1","3435.25.5","Stage Technician","http://data.europa.eu/esco/occupation/acb6b99a-6c13-482a-81b1-8b5614e0153e","0.995","1","0.808581","Stage Technician","true","false","true","2020","false"
"M363414","363414","Stage Technician","2","3435.25","Theatre Technician","http://data.europa.eu/esco/occupation/f09b6100-28a6-4be5-9726-ecf5b24f74f6","0.985","0.775606","0.734598","Stage Technician","true","false","false","2020","false"
"M363414","363414","Stage Technician","3","7312.2","Instrument Technician","http://data.europa.eu/esco/occupation/72f4abfe-5337-49be-b9b8-32096fc2ca1f","0.695631","0.707488","0.587911","Guitar Technician","false","false","false","2020","false"
