"source_current_role_id","source_current_masco_code","source_current_role_title","status","masco2020_role_ids","d13_esco_code","d13_esco_title","d11_esco_code","d11_esco_comparison_codes","d11_esco_comparison_titles","previous_d13_esco_code","source_mapping_relation","source_mapping_confidence"
"M214302","214302","Environmental Analyst","retained","M214305","2133.7","Environmental Scientist","","","","2143.1","broader_proxy","medium"
"M214401","214401","Mechanical Engineer","retained","M214402","2144.1","Mechanical Engineer","","","","2144.1","close_match","high"
"M214402","214402","Lift Engineer","retained","M214404","7412.7","Lift Technician","","","","","partial_proxy","low"
"M214403","214403","Competent Person (CP) - Internal Combustion Engine Engineer","retained","M214413","2144.1","Mechanical Engineer","","","","","broader_proxy","medium"
"M214404","214404","Welding Engineer","retained","M214436","2144.1.23","Welding Engineer","","","","2144.1.23","close_match","high"
"M214405","214405","Engineering Technologist","retained","M214443","2144.1","Mechanical Engineer","","","","","broader_proxy","medium"
"M214406","214406","Robotic Technologist","retained","M214458","3119.2.1","Robotics Engineering Technician","","","","","close_match","medium"
"M214407","214407","Aerospace Engineer","retained","M214459","2144.1.1","Aerospace Engineer","","","","2144.1.1","close_match","high"
"M214408","214408","Mine Ventilation Engineer","excluded_from_active_dataset","","2144.1.13","Mine Ventilation Engineer","","","","2144.1.13","close_match","high"
"M214501","214501","Chemical Engineer","retained","M214503","2145.1","Chemical Engineer","","","","2145.1","close_match","high"
"M214601","214601","Mining Engineer","retained","M214601","2146.8","Mine Planning Engineer","","","","2146.11","partial_proxy","low"
"M214602","214602","Petroleum Mining Engineer","retained","M214606","2146.10","Petroleum Engineer","","","","","partial_proxy","low"
"M214603","214603","Metallurgist","retained","M214609","2146.5","Metallurgist","","","","2146.5","close_match","high"
"M214604","214604","Assayer","retained","M214616","2146.1","Assayer","","","","2146.1","close_match","high"
"M214605","214605","Marine Section Leader","retained","M214624","4323.19","Vessel Operations Coordinator","","","","","partial_proxy","low"
"M214606","214606","Hydraulics Engineer","retained","M214641","2144.1.7","Fluid Power Engineer","","","","","close_match","medium"
"M214607","214607","Water Management Engineer","retained","M214642","2142.1.11","Water Engineer","","","","","partial_proxy","low"
"M214608","214608","Pipeline Mechanical Engineer","retained","M214645","2142.1.7","Pipeline Engineer","","","","","partial_proxy","low"
"M214609","214609","Pipe Stress Engineer","retained","M214648","2142.1.7","Pipeline Engineer","","","","","partial_proxy","low"
"M214610","214610","Blasting Expert (Mine)","retained","M214649","2146.3","Explosives Engineer","","","","","broader_proxy","medium"
"M214901","214901","Explosive Ordnance Engineer","retained","M214901","2146.3","Explosives Engineer","","","","","partial_proxy","low"
