"label_kind","reference","raw_label","title_case_label","changed"
"alias_display","http://data.europa.eu/esco/skill/016cee6c-9e95-466c-bd51-d63327751aa2","evaluate railway operations","Evaluate Railway Operations","true"
"alias_display","http://data.europa.eu/esco/skill/016cee6c-9e95-466c-bd51-d63327751aa2","review railway operations","Review Railway Operations","true"
"alias_display","http://data.europa.eu/esco/skill/01755f08-4df4-4cf0-8d22-08f94cad68b5","labour organising","Labour Organising","true"
"alias_display","http://data.europa.eu/esco/skill/01755f08-4df4-4cf0-8d22-08f94cad68b5","organise workers","Organise Workers","true"
"alias_display","http://data.europa.eu/esco/skill/01755f08-4df4-4cf0-8d22-08f94cad68b5","organising labour","Organising Labour","true"
"alias_display","http://data.europa.eu/esco/skill/01755f08-4df4-4cf0-8d22-08f94cad68b5","organising workers","Organising Workers","true"
"alias_display","http://data.europa.eu/esco/skill/01755f08-4df4-4cf0-8d22-08f94cad68b5","organize labor","Organize Labor","true"
"alias_display","http://data.europa.eu/esco/skill/01755f08-4df4-4cf0-8d22-08f94cad68b5","worker organising","Worker Organising","true"
"alias_display","http://data.europa.eu/esco/skill/01755f08-4df4-4cf0-8d22-08f94cad68b5","workers organising","Workers Organising","true"
"alias_display","http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec","Absorb","Absorb","false"
"alias_display","http://data.europa.eu/esco/skill/01c03003-516d-43c6-8477-45c472413521","advise about construction materials","Advise About Construction Materials","true"
"alias_display","http://data.europa.eu/esco/skill/01c03003-516d-43c6-8477-45c472413521","advise regarding construction materials","Advise Regarding Construction Materials","true"
"alias_display","http://data.europa.eu/esco/skill/01c03003-516d-43c6-8477-45c472413521","give advice on construction materials","Give Advice on Construction Materials","true"
"alias_display","http://data.europa.eu/esco/skill/01c03003-516d-43c6-8477-45c472413521","giving advice on construction materials","Giving Advice on Construction Materials","true"
"alias_display","http://data.europa.eu/esco/skill/01c03003-516d-43c6-8477-45c472413521","giving of advice on construction materials","Giving of Advice on Construction Materials","true"
"alias_display","http://data.europa.eu/esco/skill/01c03003-516d-43c6-8477-45c472413521","provide advice on construction materials","Provide Advice on Construction Materials","true"
"alias_display","http://data.europa.eu/esco/skill/01d80f57-3906-44e9-8592-fd1bd8a35808","dentistry medico-biological and medical sciences","Dentistry Medico-Biological and Medical Sciences","true"
"alias_display","http://data.europa.eu/esco/skill/01d80f57-3906-44e9-8592-fd1bd8a35808","dentistry-related medico-biological and medical sciences","Dentistry-Related Medico-Biological and Medical Sciences","true"
"alias_display","http://data.europa.eu/esco/skill/01d80f57-3906-44e9-8592-fd1bd8a35808","medico-biological and medical aspects of dentistry","Medico-Biological and Medical Aspects of Dentistry","true"
"alias_display","http://data.europa.eu/esco/skill/01d80f57-3906-44e9-8592-fd1bd8a35808","medico-biological and medical principles relevant for dentistry","Medico-Biological and Medical Principles Relevant for Dentistry","true"
"alias_display","http://data.europa.eu/esco/skill/01e66e1c-97d9-4829-bee1-f3ab649161e8","principles of natural sciences applied to medicine","Principles of Natural Sciences Applied to Medicine","true"
"alias_display","http://data.europa.eu/esco/skill/01e7dee7-3ff1-4807-acad-058dbed91aba","keep posted on product knowledge","Keep Posted on Product Knowledge","true"
"alias_display","http://data.europa.eu/esco/skill/01faf296-e037-494c-bb1c-65bda5aed750","develop efficiency plans for shipping","Develop Efficiency Plans for Shipping","true"
"alias_display","http://data.europa.eu/esco/skill/01faf296-e037-494c-bb1c-65bda5aed750","develop maritime shipping efficiency plans","Develop Maritime Shipping Efficiency Plans","true"
"alias_display","http://data.europa.eu/esco/skill/01faf296-e037-494c-bb1c-65bda5aed750","ensure maritime efficiency through planning","Ensure Maritime Efficiency Through Planning","true"
"alias_display","http://data.europa.eu/esco/skill/01faf296-e037-494c-bb1c-65bda5aed750","implement maritime efficiency plans","Implement Maritime Efficiency Plans","true"
"alias_display","http://data.europa.eu/esco/skill/01faf296-e037-494c-bb1c-65bda5aed750","oversee maritime shipping efficiency plans","Oversee Maritime Shipping Efficiency Plans","true"
"alias_display","http://data.europa.eu/esco/skill/01faf296-e037-494c-bb1c-65bda5aed750","oversee planning for maritime efficiency","Oversee Planning for Maritime Efficiency","true"
"alias_display","http://data.europa.eu/esco/skill/01faf296-e037-494c-bb1c-65bda5aed750","produce and implement plans to ensure maritime efficiency","Produce and Implement Plans to Ensure Maritime Efficiency","true"
"alias_display","http://data.europa.eu/esco/skill/01faf296-e037-494c-bb1c-65bda5aed750","produce efficiency plans for maritime shipping","Produce Efficiency Plans for Maritime Shipping","true"
"alias_display","http://data.europa.eu/esco/skill/01faf296-e037-494c-bb1c-65bda5aed750","produce maritime shipping efficiency plans","Produce Maritime Shipping Efficiency Plans","true"
"alias_display","http://data.europa.eu/esco/skill/02053349-bc3a-4945-bcf7-33d2136c14d5","diseased tree removing","Diseased Tree Removing","true"
"alias_display","http://data.europa.eu/esco/skill/02053349-bc3a-4945-bcf7-33d2136c14d5","diseased trees removing","Diseased Trees Removing","true"
"alias_display","http://data.europa.eu/esco/skill/02053349-bc3a-4945-bcf7-33d2136c14d5","remove diseased trees","Remove Diseased Trees","true"
"alias_display","http://data.europa.eu/esco/skill/02053349-bc3a-4945-bcf7-33d2136c14d5","tree disease controlling","Tree Disease Controlling","true"
"alias_display","http://data.europa.eu/esco/skill/02058de6-4b98-449f-8a45-8588b0eb2446","network architecture","Network Architecture","true"
"alias_display","http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377","drift existing data","Drift Existing Data","true"
"alias_display","http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99","control and monitor supplies","Control and Monitor Supplies","true"
"alias_display","http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99","manage supply chain","Manage Supply Chain","true"
"alias_display","http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99","monitor and control supplies","Monitor and Control Supplies","true"
"alias_display","http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99","plan supplies","Plan Supplies","true"
"alias_display","http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99","supplies management","Supplies Management","true"
"alias_display","http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99","supplies managing","Supplies Managing","true"
"alias_display","http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99","supplies planning","Supplies Planning","true"
"alias_display","http://data.europa.eu/esco/skill/020b3c27-bae1-4b85-9d6f-eccee0f5ed99","supply chain management","Supply Chain Management","true"
"alias_display","http://data.europa.eu/esco/skill/02137a68-6860-45e8-8e4d-38db467bb8b6","human factors regarding health and safety","Human Factors Regarding Health and Safety","true"
"alias_display","http://data.europa.eu/esco/skill/02137a68-6860-45e8-8e4d-38db467bb8b6","human health and safety considerations","Human Health and Safety Considerations","true"
"alias_display","http://data.europa.eu/esco/skill/02137a68-6860-45e8-8e4d-38db467bb8b6","human health and safety implications","Human Health and Safety Implications","true"
"alias_display","http://data.europa.eu/esco/skill/02137a68-6860-45e8-8e4d-38db467bb8b6","human safety considerations","Human Safety Considerations","true"
"alias_display","http://data.europa.eu/esco/skill/02137a68-6860-45e8-8e4d-38db467bb8b6","human safety factors","Human Safety Factors","true"
"alias_display","http://data.europa.eu/esco/skill/02137a68-6860-45e8-8e4d-38db467bb8b6","human safety implications","Human Safety Implications","true"
"alias_display","http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad","define database physical storage structure","Define Database Physical Storage Structure","true"
"alias_display","http://data.europa.eu/esco/skill/023e4b09-a193-4c2b-9009-f7dc9326a19b","accomplish oral health diagnosis","Accomplish Oral Health Diagnosis","true"
"alias_display","http://data.europa.eu/esco/skill/023e4b09-a193-4c2b-9009-f7dc9326a19b","carry out oral health diagnosis","Carry out Oral Health Diagnosis","true"
"alias_display","http://data.europa.eu/esco/skill/023e4b09-a193-4c2b-9009-f7dc9326a19b","conduct oral health diagnosis","Conduct Oral Health Diagnosis","true"
"alias_display","http://data.europa.eu/esco/skill/023e4b09-a193-4c2b-9009-f7dc9326a19b","diagnose a patient's oral health","Diagnose a Patient's Oral Health","true"
"alias_display","http://data.europa.eu/esco/skill/023e4b09-a193-4c2b-9009-f7dc9326a19b","execute oral health diagnosis","Execute Oral Health Diagnosis","true"
"alias_display","http://data.europa.eu/esco/skill/023e4b09-a193-4c2b-9009-f7dc9326a19b","fulfill oral health diagnosis","Fulfill Oral Health Diagnosis","true"
"alias_display","http://data.europa.eu/esco/skill/023e4b09-a193-4c2b-9009-f7dc9326a19b","record oral health diagnosis","Record Oral Health Diagnosis","true"
"alias_display","http://data.europa.eu/esco/skill/023e4b09-a193-4c2b-9009-f7dc9326a19b","record patient's oral and dental state","Record Patient's Oral and Dental State","true"
"alias_display","http://data.europa.eu/esco/skill/023f4870-b417-4bd2-b0ae-78e61587c79f","the study of Earth’s surface","The Study of Earth’s Surface","true"
"alias_display","http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c","contamination risks while handling battery materials","Contamination Risks While Handling Battery Materials","true"
"alias_display","http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c","regulations about contaminated materials","Regulations About Contaminated Materials","true"
"alias_display","http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c","regulations about contamination exposure","Regulations About Contamination Exposure","true"
"alias_display","http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c","regulations concerning contaminated materials","Regulations Concerning Contaminated Materials","true"
"alias_display","http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c","regulations concerning contamination exposure","Regulations Concerning Contamination Exposure","true"
"alias_display","http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c","regulations regarding contaminated materials","Regulations Regarding Contaminated Materials","true"
"alias_display","http://data.europa.eu/esco/skill/023faef3-0633-436d-8b91-389c45c1421c","regulations regarding contamination exposure","Regulations Regarding Contamination Exposure","true"
"alias_display","http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a","Maltego Forensics","Maltego Forensics","false"
"alias_display","http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a","Maltego cybersecurity tool","Maltego Cybersecurity Tool","true"
"alias_display","http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a","Maltego digital Forensics tool","Maltego Digital Forensics Tool","true"
"alias_display","http://data.europa.eu/esco/skill/0253b09a-7217-43fc-b62f-e6b23ffebac9","develop script’s bible","Develop Script’s Bible","true"
