role_id,role_title,masco_code,masco_unit_group_code,candidate_rank,candidate_esco_code,candidate_esco_title,candidate_esco_uri,matched_label,matched_label_type,title_similarity,candidate_status,mapping_status,review_decision,reviewer,review_notes
M132107,Welding Manager,132107,1321,1,1321.2.1.5,leather finishing operations manager,http://data.europa.eu/esco/occupation/a2bc52c2-9802-4929-a95c-6379d9f19204,drying manager,altLabel,0.827586,review_only_not_used,no_unique_exact_esco_title_match,,,
M132107,Welding Manager,132107,1321,2,1321.2.1.8,metal production manager,http://data.europa.eu/esco/occupation/0368c4d4-94cf-4168-a84d-283a25880e0d,plant manager,altLabel,0.714286,review_only_not_used,no_unique_exact_esco_title_match,,,
M132107,Welding Manager,132107,1321,3,1321.2.4,sewerage systems manager,http://data.europa.eu/esco/occupation/9deee896-be9b-4aac-b55e-ceff1a7a843a,sewerage manager,altLabel,0.709677,review_only_not_used,no_unique_exact_esco_title_match,,,
M132108,Oil Mill Manager,132108,1321,1,1321.2.1.8,metal production manager,http://data.europa.eu/esco/occupation/0368c4d4-94cf-4168-a84d-283a25880e0d,facility manager,altLabel,0.687500,review_only_not_used,no_unique_exact_esco_title_match,,,
M132108,Oil Mill Manager,132108,1321,2,1321.2.1.7,metallurgical manager,http://data.europa.eu/esco/occupation/45517bc3-0887-416d-95fe-6ace1b90bddd,metallurgy manager,altLabel,0.647059,review_only_not_used,no_unique_exact_esco_title_match,,,
M132108,Oil Mill Manager,132108,1321,3,1321.2.1,industrial production manager,http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5,production line manager,altLabel,0.615385,review_only_not_used,no_unique_exact_esco_title_match,,,
M132109,Manager (Halal Food Manufacturing),132109,1321,1,1321.2.1,industrial production manager,http://data.europa.eu/esco/occupation/eb9479c6-5fdf-4f45-ace4-28b547b8c7e5,industrial production and manufacturing manager,altLabel,0.556962,review_only_not_used,no_unique_exact_esco_title_match,,,
M132109,Manager (Halal Food Manufacturing),132109,1321,2,1321.2.1.1,chemical production manager,http://data.europa.eu/esco/occupation/0d21a30d-25d9-427b-b8e4-339408425ff5,chemical manufacturing manager,altLabel,0.548387,review_only_not_used,no_unique_exact_esco_title_match,,,
M132109,Manager (Halal Food Manufacturing),132109,1321,3,1321.2.1.6,leather production manager,http://data.europa.eu/esco/occupation/316309e4-5fce-4dca-85d1-07702217ea19,leather manufacturing director,altLabel,0.548387,review_only_not_used,no_unique_exact_esco_title_match,,,
M132111,Power Generation Plant Manager,132111,1321,1,1321.2.3,operations manager,http://data.europa.eu/esco/occupation/c6bd511a-d966-4df9-a48e-4f800354f268,operations general manager,altLabel,0.678571,review_only_not_used,no_unique_exact_esco_title_match,,,
M132111,Power Generation Plant Manager,132111,1321,2,1321.2.1.4,footwear production manager,http://data.europa.eu/esco/occupation/6482664d-48f4-4ff4-9346-584ac0e2f729,production planning manager,altLabel,0.666667,review_only_not_used,no_unique_exact_esco_title_match,,,
M132111,Power Generation Plant Manager,132111,1321,3,1321.2.1.6.1,leather goods production manager,http://data.europa.eu/esco/occupation/e5257110-e7f1-453a-a2dc-bd374945bc4a,production planning manager,altLabel,0.666667,review_only_not_used,no_unique_exact_esco_title_match,,,
M132201,Production and Operation Manager (Mine),132201,1322,1,1322.1.2,oil and gas production manager,http://data.europa.eu/esco/occupation/0633ec3f-91f1-4038-bc29-e0ec4cd7f1e9,oil and gas operations manager,altLabel,0.716418,review_only_not_used,no_unique_exact_esco_title_match,,,
M132201,Production and Operation Manager (Mine),132201,1322,2,1322.1,mine manager,http://data.europa.eu/esco/occupation/107d21c6-973b-411c-89fd-69da48d29ada,mining operations manager,altLabel,0.677419,review_only_not_used,no_unique_exact_esco_title_match,,,
M132201,Production and Operation Manager (Mine),132201,1322,3,1322.1.1,mine production manager,http://data.europa.eu/esco/occupation/df66a6e6-2130-4932-8aaf-263dafa569fa,mining operations manager,altLabel,0.677419,review_only_not_used,no_unique_exact_esco_title_match,,,
M132202,Production and Operation Manager (Oil and Gas Extraction),132202,1322,1,1322.1,mine manager,http://data.europa.eu/esco/occupation/107d21c6-973b-411c-89fd-69da48d29ada,mining operations manager,altLabel,0.525000,review_only_not_used,no_unique_exact_esco_title_match,,,
M132202,Production and Operation Manager (Oil and Gas Extraction),132202,1322,2,1322.1.1,mine production manager,http://data.europa.eu/esco/occupation/df66a6e6-2130-4932-8aaf-263dafa569fa,mining operations manager,altLabel,0.525000,review_only_not_used,no_unique_exact_esco_title_match,,,
M132202,Production and Operation Manager (Oil and Gas Extraction),132202,1322,3,1322.1.2,oil and gas production manager,http://data.europa.eu/esco/occupation/0633ec3f-91f1-4038-bc29-e0ec4cd7f1e9,oil operations manager,altLabel,0.519481,review_only_not_used,no_unique_exact_esco_title_match,,,
M132203,Offshore Installation Manager,132203,1322,1,1322.1,mine manager,http://data.europa.eu/esco/occupation/107d21c6-973b-411c-89fd-69da48d29ada,operations manager,altLabel,0.638298,review_only_not_used,no_unique_exact_esco_title_match,,,
M132203,Offshore Installation Manager,132203,1322,2,1322.1.2,oil and gas production manager,http://data.europa.eu/esco/occupation/0633ec3f-91f1-4038-bc29-e0ec4cd7f1e9,oil operations manager,altLabel,0.627451,review_only_not_used,no_unique_exact_esco_title_match,,,
M132203,Offshore Installation Manager,132203,1322,3,1322.1.1,mine production manager,http://data.europa.eu/esco/occupation/df66a6e6-2130-4932-8aaf-263dafa569fa,resident manager,altLabel,0.577778,review_only_not_used,no_unique_exact_esco_title_match,,,
M132205,Metallurgy Manager,132205,1322,1,1322.1,mine manager,http://data.europa.eu/esco/occupation/107d21c6-973b-411c-89fd-69da48d29ada,quarry manager,altLabel,0.687500,review_only_not_used,no_unique_exact_esco_title_match,,,
M132205,Metallurgy Manager,132205,1322,2,1322.2,quarry manager,http://data.europa.eu/esco/occupation/b156960c-8508-4067-908d-f167847c55b1,quarry manager,preferredLabel,0.687500,review_only_not_used,no_unique_exact_esco_title_match,,,
M132205,Metallurgy Manager,132205,1322,3,1322.1.1,mine production manager,http://data.europa.eu/esco/occupation/df66a6e6-2130-4932-8aaf-263dafa569fa,resident manager,altLabel,0.588235,review_only_not_used,no_unique_exact_esco_title_match,,,
M132301,Construction Manager,132301,1323,1,1323.1,construction manager,http://data.europa.eu/esco/occupation/faed05c0-c1d1-4e34-b575-0dea96459e56,construction manager,preferredLabel,1.000000,provisionally_used_pending_review,unique_exact_preferred_title_same_isco_group,,,
M132302,Building and Architecture Manager,132302,1323,1,1323.1,construction manager,http://data.europa.eu/esco/occupation/faed05c0-c1d1-4e34-b575-0dea96459e56,construction project manager,altLabel,0.524590,review_only_not_used,no_unique_exact_esco_title_match,,,
M132302,Building and Architecture Manager,132302,1323,2,1323.1.1,construction general contractor,http://data.europa.eu/esco/occupation/ba3bacd4-73e9-4861-a9c0-f89f1f28055a,construction project manager,altLabel,0.524590,review_only_not_used,no_unique_exact_esco_title_match,,,
M132302,Building and Architecture Manager,132302,1323,3,1323.1.2,property developer,http://data.europa.eu/esco/occupation/b9711647-463f-4991-a858-d5de66ff2f83,housing developer,altLabel,0.400000,review_only_not_used,no_unique_exact_esco_title_match,,,
M132303,Land Surveyor Manager,132303,1323,1,1323.1,construction manager,http://data.europa.eu/esco/occupation/faed05c0-c1d1-4e34-b575-0dea96459e56,construction manager,preferredLabel,0.585366,review_only_not_used,no_unique_exact_esco_title_match,,,
M132303,Land Surveyor Manager,132303,1323,2,1323.1.2,property developer,http://data.europa.eu/esco/occupation/b9711647-463f-4991-a858-d5de66ff2f83,land developer,altLabel,0.571429,review_only_not_used,no_unique_exact_esco_title_match,,,
